"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","gir","hole_proximity","x_of_attempts","putts_round","scramble","sg_putt","sg_t2g","sg_total","sg_approach","sg_tee","sg_ar","par4_sa","par3_sa","par5_sa","covered_tee","left_rough","right_rough","fair_bunk","gir_fair","gir_not_fair","prox_fair","prox_rough","go_for_green","sand_save","prox_arg","putt_25","putt15_25","putt10_15","putt_10","finround_sa"
"130",2022,"Taylor Moore","130",1,NA,71.345,42,23.89,61.23,301.7,67.2,"23,662.167",636,28.95,62.1,-0.108,-0.059,-0.167,-0.304,0.147,0.098,4.02,3.08,4.66,63.04,13.51,14.52,6.5,79.55,54.42,"32' 4""","44' 8""",15.85,47.37,"7' 6""",5.66,15.79,30.11,87.44,70.43
"131",2022,"Patrick Reed","131",1,NA,71.859,43,19.8,57.86,285.3,64.58,"20,890.917",512,28.18,60.78,0.447,-1.336,-0.889,-0.647,-0.797,0.108,4.03,3.01,4.64,61.19,14.36,12.62,8.2,77.16,50.85,"35' 3""","48' 11""",15.49,54.55,"7' 6""",6.92,15.79,25.32,89.96,70.88
"132",2022,"Chase Seiffert","132",NA,NA,70.791,25,23.44,61.32,287,66.22,"6,813.833",198,28.88,66.45,-0.209,0.567,0.358,0.527,-0.138,0.177,3.96,3.15,4.63,62.25,13.82,17.76,10.5,76.64,60,"31' 0""","40' 10""",33.33,51.11,"7' 0""",1.96,11.63,33.33,89,69.4
"133",2022,"Kevin Streelman","133",1,NA,71.109,52,24.07,69.26,296.1,66.77,"29,159.833",787,28.6,67.85,0.109,0.421,0.53,-0.193,0.303,0.31,4,3.04,4.64,61.92,9.08,12.38,5.6,76.1,48.42,"32' 11""","45' 5""",18,50.56,"7' 3""",5.64,12.26,26.85,90.2,70.8
"134",2022,"Brendon Todd","134",1,NA,70.835,47,26.55,68.2,275.2,65.01,"22,189.250",608,28.3,64.53,0.714,-0.317,0.397,-0.108,-0.478,0.269,4.03,3.01,4.65,59.21,10.34,13.5,5.1,75.68,47.34,"33' 2""","47' 2""",22.92,59.74,"6' 9""",5.33,11.93,38.75,90.13,70
"135",2022,"Rory Sabbatini","135",1,NA,71.124,27,12,61.9,287.1,64.4,"14,595.667",391,28.33,64.16,0.414,-0.015,0.399,-0.374,-0.138,0.496,3.99,3.16,4.51,62,9.74,15.26,8.8,78.21,46.53,"34' 5""","40' 1""",24.39,45.45,"6' 11""",6,26.87,40.85,87.47,71.75
"136",2022,"Kiradech Aphibarnrat","136",NA,NA,71.663,29,28.4,63.34,287.3,63.22,"8,756.833",246,28.48,59.9,-0.489,-0.748,-1.237,-0.568,0.092,-0.272,4.02,3.07,4.74,61.78,13.54,11.98,7.3,76.38,47.62,"31' 8""","45' 7""",6.67,60.34,"8' 5""",3.7,13.95,23.26,86.14,71.4
"137",2022,"Nick Taylor","137",NA,NA,71.189,52,21.97,60.22,296.1,66.03,"25,737.250",660,28.71,64.47,-0.09,0.081,-0.009,0.001,0.032,0.048,4.01,3.11,4.65,61.96,16.34,14.37,9.6,78.29,51.4,"33' 8""","47' 0""",11.11,51.25,"7' 4""",6.94,14.73,29,87.1,70.73
"138",2022,"Brian Stuard","138",2,NA,71.063,57,15.44,71.86,275.5,65.2,"24,373.583",662,28.51,64.99,-0.158,-0.148,-0.306,-0.012,-0.364,0.228,4.01,2.97,4.77,59.11,8.25,13.75,3.5,71.78,50.9,"33' 1""","46' 11""",13.04,46.99,"8' 2""",5.03,13.64,25.49,88.97,71.11
"139",2022,"Lee Hodges","139",2,NA,71.528,51,20.15,63.08,296.2,67.32,"27,525.667",731,29.55,58,-0.562,0.262,-0.299,-0.138,0.256,0.145,4.07,3.02,4.65,62.79,13.63,16.64,2.5,76.01,54.79,"33' 2""","47' 3""",17.82,45.95,"7' 8""",5.33,14.79,28.13,86.71,72.33
"140",2022,"Henrik Norlander","140",1,NA,71.413,46,23.44,60.09,291.5,69.2,"22,028.417",601,29.65,54.9,-0.479,-0.033,-0.512,0.328,-0.235,-0.127,4.05,3.02,4.66,61.42,14.32,16.67,5.8,79.27,54.55,"29' 7""","55' 8""",14.93,53.03,"8' 1""",5.76,11.45,24.47,87.04,70
"141",2022,"Jim Knous","141",NA,NA,71.458,27,18.29,53.85,294.9,65.64,"7,179.083",212,28.63,57.49,0.517,-0.079,0.438,-0.818,-0.02,0.759,4.03,3.1,4.59,63.4,19.28,12.65,10.8,81.77,50.57,"29' 5""","42' 6""",21.05,42,"5' 4""",7.69,25.64,39.29,87.38,71.2
"142",2022,"Graeme McDowell","142",NA,NA,71.601,34,19.77,65.25,282.5,65.52,"14,548.417",375,28.65,59.72,-0.035,-0.753,-0.787,0.072,-0.4,-0.424,4.01,3.11,4.69,60.86,16.55,10,8.6,75.65,53.66,"35' 5""","44' 10""",9.52,51.72,"8' 7""",5.38,13.51,32.79,88.14,73.2
"143",2022,"Scott Gutschewski","143",NA,NA,71.594,34,18.92,56.21,296.5,68.46,"9,898.000",287,29.12,64.77,-0.261,0.296,0.035,0.314,-0.305,0.288,3.99,3.04,4.69,62.36,17.27,20.91,7.3,80.52,58.65,"29' 1""","44' 4""",19.35,57.89,"7' 9""",4.41,10.77,34.21,89.31,70
"144",2022,"Kevin Tway","144",1,NA,71.628,47,18.18,49.77,309.9,64.54,"27,207.250",659,28.98,59.67,0.458,-0.976,-0.518,-0.836,-0.087,-0.053,4.07,3.06,4.6,64.84,15.84,19.8,7.1,77.23,54.57,"35' 3""","45' 11""",16.28,60,"8' 9""",3.85,19.85,36,89.55,70.14
"145",2022,"James Hahn","T145",NA,NA,71.388,33,16.67,61.89,302.1,65.99,"16,003.333",393,29.52,62.38,-0.888,0.335,-0.553,-0.143,0.232,0.246,4.04,3.1,4.64,63.35,14.52,16.5,4.3,75.8,58.96,"35' 9""","47' 7""",13.24,57.14,"8' 2""",2.22,16.9,25,85.34,72.25
"146",2022,"Patrick Rodgers","T145",2,NA,71.162,47,15.13,47.79,306.3,67.85,"23,084.417",592,29.57,59.93,0.227,-0.034,0.193,0.006,-0.159,0.119,4.05,3.04,4.64,64.56,15.89,20.09,7.9,80.89,56.27,"32' 3""","47' 0""",16.05,43.66,"7' 10""",5.52,14.78,29.89,88.72,71.88
"147",2022,"Peter Uihlein","T145",NA,NA,71.528,36,20.19,46.31,307.1,64.97,"11,881.083",319,28.97,57.71,-0.093,-0.205,-0.297,-0.047,-0.308,0.15,4.04,3.08,4.67,64.65,20.58,19.34,7.4,75.86,60.22,"34' 3""","39' 8""",13.04,55.22,"8' 5""",2.94,17.65,25,87.76,70.67
"148",2022,"Ben Kohles","148",NA,NA,71.68,35,27.66,57.67,287.3,66.98,"11,487.167",305,28.89,59.13,-0.145,-0.969,-1.115,-0.172,-0.808,0.01,4.02,3.07,4.64,61.76,13.62,20,6.8,78.01,54.11,"29' 7""","51' 8""",6.67,45.45,"8' 7""",6.15,21.82,23.53,85.36,72.2
"149",2022,"Chris Stroud","149",NA,NA,71.429,19,25.4,60.92,288.6,65.2,"8,161.333",214,29.37,51.26,-0.455,-0.157,-0.612,0.643,-0.241,-0.559,4.07,3.15,4.64,60.93,15.24,14.02,6.7,76.73,53.92,"33' 7""","49' 3""",12.5,39.29,"8' 3""",9.09,19.44,20,83.4,71.5
"150",2022,"Paul Barjon","T150",1,NA,71.908,37,18.35,56.36,307.4,66.97,"19,226.000",519,29.54,51.82,-0.242,-0.183,-0.425,-0.064,0.313,-0.432,4.07,3.01,4.7,63.81,15.83,16.58,7.5,80.9,52.91,"32' 3""","45' 3""",19.72,41.18,"9' 0""",7.63,15.93,23.96,88.07,70.8
"151",2022,"Adam Svensson","T150",2,NA,71.375,50,24.31,62.34,291.5,68.89,"20,750.333",604,29.52,57.14,-0.329,0.067,-0.262,0.24,-0.048,-0.125,4.04,3.02,4.64,61.5,13.68,17.52,7.1,78.24,55.17,"30' 8""","42' 10""",20,44.05,"7' 4""",10.88,16.94,32.38,84.74,72.22
"152",2022,"Jonathan Byrd","152",1,NA,71.17,27,18.18,62.33,290.4,65.84,"8,589.500",232,28.52,68.07,0.238,-0.223,0.015,-0.166,-0.464,0.407,3.97,3.06,4.7,62.9,9.94,10.5,12.2,74.89,52.11,"33' 9""","40' 3""",11.11,52.17,"8' 4""",7.41,9.26,31.71,90.35,69.75
"153",2022,"Doc Redman","153",NA,NA,71.586,51,16.77,56.76,295.2,66.56,"23,885.083",627,29.24,56.03,0.083,-0.359,-0.276,0.195,-0.087,-0.467,4.05,3.03,4.67,61.86,14.11,17.84,5.4,74.69,57.24,"32' 0""","47' 8""",10.13,46.34,"8' 11""",6.92,12.7,37.63,87.02,71.56
"154",2022,"Kurt Kitayama","T154",1,NA,71.844,34,17.35,48.41,304.4,64.71,"11,640.083",322,29.15,56.02,-0.189,-0.341,-0.53,0.395,-0.349,-0.387,4.05,3.08,4.69,65.12,13.41,20.33,5.7,79.04,53.69,"29' 11""","44' 8""",27.91,50,"8' 2""",5.41,21.21,28.3,85.25,70.5
"155",2022,"Callum Tarren","T154",1,NA,71.872,29,23.96,55.09,307.9,67.43,"10,206.667",284,29.93,51.18,-0.787,-0.229,-1.016,-0.084,0.517,-0.661,4.03,3.19,4.64,64.52,19.82,16.22,7.7,78.38,60.22,"32' 7""","37' 6""",19.51,38.98,"8' 5""",4.17,25.93,25.64,82.48,68
"156",2022,"Pat Perez","156",2,NA,71.166,42,23.48,57.54,288.1,62.96,"21,785.500",554,28.45,60.71,0.126,0.065,0.191,0.151,-0.376,0.29,4.06,3.06,4.61,60.23,17.99,13.32,6.1,70.78,51.43,"34' 10""","48' 8""",16.44,55.38,"6' 8""",6.52,12.2,25,87.93,70.57
"157",2022,"Anirban Lahiri","157",1,NA,71.477,42,18.85,60.24,295.8,64.29,"21,963.500",568,28.79,58.52,0.064,-0.097,-0.033,-0.48,0.316,0.067,4.05,3.07,4.63,62.6,12.58,15.51,8.8,73.65,51.93,"32' 8""","52' 0""",21.43,49.25,"7' 2""",4.79,15.79,25.3,88.85,72.71
